sample_id,condition,GeneA,GeneB,GeneC
Sample_1,Healthy,5.2,4.8,6.1
Sample_2,Healthy,5.8,4.5,6.0
Sample_3,Healthy,4.9,4.3,5.7
Sample_4,Healthy,6.0,4.9,5.8
Sample_5,Healthy,5.5,4.6,6.3
Sample_6,Healthy,4.7,4.4,6.1
Sample_7,Healthy,5.3,4.7,5.9
Sample_8,Healthy,5.1,4.2,5.8
Sample_9,Healthy,5.4,4.8,6.0
Sample_10,Healthy,5.7,4.5,5.7
Sample_11,Healthy,6.1,4.6,6.2
Sample_12,Healthy,5.6,4.3,5.9
Sample_13,Healthy,5.2,4.4,6.1
Sample_14,Healthy,5.3,4.7,6.3
Sample_15,Healthy,5.8,4.5,5.8
Sample_16,Cancer,7.1,4.9,6.3
Sample_17,Cancer,6.8,4.6,6.7
Sample_18,Cancer,7.0,4.7,6.5
Sample_19,Cancer,7.4,4.5,6.2
Sample_20,Cancer,6.6,4.8,6.8
Sample_21,Cancer,7.3,4.4,6.4
Sample_22,Cancer,6.9,4.7,6.7
Sample_23,Cancer,7.2,4.9,6.6
Sample_24,Cancer,6.7,4.6,6.3
Sample_25,Cancer,7.5,4.5,6.8
Sample_26,Cancer,7.1,4.8,6.5
Sample_27,Cancer,6.8,4.7,6.6
Sample_28,Cancer,7.4,4.6,6.4
Sample_29,Cancer,6.9,4.9,6.7
Sample_30,Cancer,7.0,4.5,6.5
